time,train_gpu_util,train_cpu_util,train_gpu_mem,train_main_mem
1.9607529640197754,0.91,0.08,0.175,0.816
0.09075689315795898,0.01,0.01,0.517,0.816
0.09175276756286621,0.5,0.1,0.562,0.816
0.09773850440979004,0.7,0.17,0.603,0.816
0.0917513370513916,0.55,0.11,0.63,0.816
0.09474635124206543,0.55,0.13,0.528,0.816
0.10072994232177734,0.67,0.13,0.486,0.816
0.09574270248413086,0.64,0.13,0.562,0.816
0.0967411994934082,0.49,0.11,0.542,0.816
0.08876323699951172,0.51,0.11,0.562,0.816
0.0857706069946289,0.74,0.17,0.569,0.816
0.09275031089782715,0.74,0.14,0.685,0.816
0.08876180648803711,0.7,0.14,0.5,0.816
0.08776473999023438,0.56,0.12,0.5,0.816
0.09574389457702637,0.52,0.12,0.542,0.816
0.09474635124206543,0.64,0.15,0.486,0.816
0.0857701301574707,0.6,0.12,0.514,0.816
0.3759939670562744,0.03,0.02,0.408,0.818
0.09873485565185547,0.26,0.07,0.634,0.818
0.08876252174377441,0.26,0.13,0.5,0.818
0.08776450157165527,0.69,0.13,0.575,0.818
0.09773921966552734,0.58,0.12,0.5,0.818
0.08876252174377441,0.51,0.11,0.5,0.818
0.08477282524108887,0.66,0.16,0.547,0.818
0.09574508666992188,0.66,0.13,0.583,0.818
0.09873485565185547,0.71,0.13,0.613,0.818
0.08976030349731445,0.6,0.13,0.556,0.818
0.09474611282348633,0.51,0.11,0.514,0.818
0.09574151039123535,0.5,0.11,0.603,0.818
0.09474682807922363,0.61,0.15,0.569,0.818
0.08477282524108887,0.61,0.14,0.484,0.818
0.08477282524108887,0.67,0.13,0.583,0.818
0.08776521682739258,0.66,0.13,0.653,0.818
0.09275150299072266,0.51,0.11,0.583,0.818
0.41588664054870605,0.25,0.07,0.433,0.8190000000000001
0.08577084541320801,0.01,0.08,0.5760000000000001,0.82
0.0967404842376709,0.32,0.14,0.493,0.82
0.0997319221496582,0.71,0.14,0.575,0.82
0.09175443649291992,0.51,0.11,0.617,0.82
0.09275054931640625,0.51,0.11,0.507,0.82
0.09075760841369629,0.58,0.13,0.528,0.82
0.10073018074035645,0.72,0.15,0.493,0.8190000000000001
0.09773826599121094,0.72,0.13,0.5479999999999999,0.82
0.08776426315307617,0.65,0.13,0.534,0.8190000000000001
0.09773778915405273,0.56,0.12,0.605,0.82
0.08975934982299805,0.5,0.11,0.6809999999999999,0.8190000000000001
0.08477258682250977,0.5,0.11,0.603,0.82
0.09574317932128906,0.6,0.14,0.61,0.8190000000000001
0.08377599716186523,0.59,0.13,0.547,0.8190000000000001
0.09275197982788086,0.59,0.14,0.562,0.82
0.08177995681762695,0.7,0.13,0.514,0.8190000000000001
0.2622988224029541,0.03,0.09,0.47,0.82
0.0967411994934082,0.14,0.1,0.518,0.82
0.09374809265136719,0.43,0.1,0.562,0.8190000000000001
0.09674072265625,0.61,0.12,0.507,0.8190000000000001
0.09275126457214355,0.51,0.11,0.514,0.8190000000000001
0.08477187156677246,0.61,0.14,0.484,0.8190000000000001
0.09873533248901367,0.73,0.15,0.556,0.8190000000000001
0.08776259422302246,0.73,0.15,0.5,0.8190000000000001
0.0967404842376709,0.67,0.14,0.542,0.8190000000000001
0.09574341773986816,0.5,0.11,0.613,0.8190000000000001
0.08776545524597168,0.5,0.11,0.486,0.8190000000000001
0.08876180648803711,0.66,0.16,0.5,0.8190000000000001
0.09275197982788086,0.66,0.13,0.556,0.8190000000000001
0.09075665473937988,0.69,0.13,0.486,0.8190000000000001
0.08676743507385254,0.63,0.13,0.708,0.818
0.09873604774475098,0.48,0.11,0.583,0.8190000000000001
0.09674072265625,0.52,0.12,0.611,0.8190000000000001
0.40990328788757324,0.03,0.02,0.43799999999999994,0.8190000000000001
0.09873580932617188,0.22,0.07,0.583,0.818
0.09175467491149902,0.54,0.12,0.593,0.8190000000000001
0.09275245666503906,0.59,0.12,0.525,0.8190000000000001
0.09075593948364258,0.59,0.13,0.486,0.818
0.08776450157165527,0.64,0.13,0.486,0.8190000000000001
0.0937490463256836,0.57,0.12,0.611,0.8190000000000001
0.0967409610748291,0.51,0.11,0.528,0.8190000000000001
0.09075689315795898,0.61,0.15,0.569,0.8190000000000001
0.08975982666015625,0.64,0.14,0.528,0.818
0.09574365615844727,0.64,0.14,0.528,0.818
0.09773755073547363,0.7,0.14,0.534,0.818
0.0857696533203125,0.54,0.12,0.514,0.8190000000000001
0.09075689315795898,0.5,0.11,0.578,0.818
0.10072970390319824,0.62,0.15,0.562,0.818
0.08477282524108887,0.65,0.13,0.5379999999999999,0.818
0.09275197982788086,0.65,0.12,0.512,0.818
