time,train_gpu_util,train_cpu_util,train_gpu_mem,train_main_mem
3.679155111312866,0.96,0.64,0.135,0.8240000000000001
0.1545867919921875,0.47,0.3,0.525,0.825
0.24733877182006836,0.95,0.68,0.5,0.8240000000000001
0.24434447288513184,0.95,0.64,0.5,0.8240000000000001
0.23736357688903809,0.99,0.62,0.475,0.8240000000000001
0.24434566497802734,0.95,0.67,0.516,0.8240000000000001
0.25032925605773926,0.98,0.61,0.461,0.8240000000000001
0.2323763370513916,0.96,0.71,0.45799999999999996,0.8240000000000001
0.2483351230621338,0.99,0.63,0.49200000000000005,0.825
0.24733781814575195,0.95,0.68,0.457,0.8240000000000001
0.23437070846557617,0.95,0.62,0.45799999999999996,0.825
0.24534201622009277,0.94,0.68,0.465,0.8240000000000001
0.23437190055847168,0.96,0.63,0.46299999999999997,0.8240000000000001
0.24733757972717285,0.95,0.64,0.519,0.8240000000000001
0.2483348846435547,0.97,0.67,0.445,0.8240000000000001
1.437154769897461,0.88,0.69,0.124,0.8240000000000001
0.1685483455657959,0.33,0.21,0.33899999999999997,0.8290000000000001
0.24434566497802734,0.99,0.59,0.406,0.8290000000000001
0.23636722564697266,0.95,0.7,0.455,0.8290000000000001
0.2513270378112793,0.99,0.59,0.5,0.83
0.24733757972717285,0.95,0.72,0.47700000000000004,0.83
0.23337340354919434,0.98,0.64,0.45,0.828
0.24434471130371094,0.96,0.71,0.426,0.8290000000000001
0.24933171272277832,0.95,0.62,0.469,0.8290000000000001
0.24933218955993652,0.95,0.69,0.5,0.8290000000000001
0.23337531089782715,0.96,0.63,0.442,0.8290000000000001
0.23038291931152344,0.96,0.65,0.475,0.8290000000000001
0.2493300437927246,0.96,0.65,0.457,0.828
0.24534320831298828,0.99,0.58,0.47700000000000004,0.828
0.23636722564697266,0.95,0.71,0.45799999999999996,0.828
0.2483358383178711,0.99,0.62,0.43799999999999994,0.828
0.1874985694885254,0.95,0.72,0.5,0.828
0.16156673431396484,0.56,0.42,0.331,0.8290000000000001
0.2622983455657959,0.96,0.62,0.449,0.8290000000000001
0.23437070846557617,0.96,0.71,0.45799999999999996,0.8290000000000001
0.24733614921569824,0.96,0.63,0.47700000000000004,0.8290000000000001
0.24733662605285645,0.94,0.67,0.45299999999999996,0.8290000000000001
0.23337554931640625,0.95,0.64,0.49200000000000005,0.8290000000000001
0.23038244247436523,0.99,0.63,0.5,0.828
0.2483360767364502,0.96,0.69,0.469,0.8290000000000001
0.24833393096923828,0.99,0.62,0.465,0.828
0.23537015914916992,0.95,0.7,0.475,0.8290000000000001
0.24833321571350098,0.97,0.62,0.49200000000000005,0.828
0.25033092498779297,0.95,0.71,0.531,0.8290000000000001
0.2463397979736328,0.97,0.63,0.562,0.8290000000000001
0.23337578773498535,0.95,0.68,0.483,0.828
0.23038125038146973,0.95,0.65,0.49200000000000005,0.828
0.20245838165283203,0.99,0.7,0.51,0.8290000000000001
0.1655564308166504,0.06,0.02,0.299,0.83
0.2622978687286377,0.95,0.72,0.478,0.83
0.23437166213989258,0.98,0.66,0.45,0.83
0.2622976303100586,0.95,0.68,0.426,0.83
0.23337435722351074,0.98,0.64,0.467,0.83
0.2463397979736328,0.95,0.72,0.469,0.83
0.23337483406066895,0.97,0.63,0.475,0.83
0.24833321571350098,0.94,0.69,0.469,0.8290000000000001
0.24733543395996094,0.95,0.63,0.445,0.8290000000000001
0.23337435722351074,0.98,0.63,0.483,0.8290000000000001
0.24833416938781738,0.96,0.69,0.465,0.8290000000000001
0.23337507247924805,0.99,0.6,0.508,0.8290000000000001
0.26130056381225586,0.95,0.69,0.65,0.8290000000000001
0.23337435722351074,0.98,0.64,0.45799999999999996,0.8290000000000001
0.23536968231201172,0.97,0.71,0.508,0.8290000000000001
0.2014610767364502,0.96,0.65,0.5579999999999999,0.8290000000000001
0.16954421997070312,0.22,0.14,0.364,0.831
0.24733757972717285,0.94,0.66,0.5,0.831
0.29919886589050293,0.95,0.68,0.41200000000000003,0.831
0.18450546264648438,0.99,0.6,0.523,0.831
0.24534344673156738,0.97,0.71,0.43799999999999994,0.83
0.24733781814575195,0.99,0.6,0.465,0.8290000000000001
0.23337388038635254,0.95,0.71,0.45,0.8290000000000001
0.24933266639709473,0.99,0.66,0.516,0.8290000000000001
0.2463374137878418,0.95,0.69,0.457,0.8290000000000001
0.23138070106506348,0.96,0.62,0.579,0.828
0.2483348846435547,0.96,0.67,0.43,0.8290000000000001
0.23536992073059082,0.97,0.63,0.45,0.8290000000000001
0.24733638763427734,0.95,0.66,0.445,0.828
0.24733757972717285,0.95,0.66,0.49200000000000005,0.828
0.23337292671203613,0.99,0.58,0.45799999999999996,0.828
0.20245838165283203,0.97,0.73,0.5579999999999999,0.828
