time,train_gpu_util,train_cpu_util,train_gpu_mem,train_main_mem
3.4358057975769043,0.97,0.65,0.141,0.862
0.16156816482543945,0.39,0.27,0.401,0.862
0.15059733390808105,0.99,0.62,0.414,0.863
0.15658116340637207,0.9,0.68,0.47700000000000004,0.863
0.14261841773986816,0.96,0.69,0.446,0.863
0.15358924865722656,0.97,0.72,0.545,0.862
0.15259122848510742,0.83,0.59,0.633,0.86
0.16455912590026855,0.63,0.48,0.7390000000000001,0.855
0.15558290481567383,0.84,0.62,0.635,0.852
0.15857648849487305,0.87,0.65,0.664,0.848
0.15857553482055664,0.93,0.64,0.496,0.848
0.1575779914855957,0.91,0.68,0.517,0.848
0.15857577323913574,0.74,0.5,0.485,0.848
0.15059709548950195,0.89,0.67,0.475,0.848
0.15059757232666016,0.85,0.58,0.469,0.848
1.2696027755737305,0.94,0.76,0.12300000000000001,0.848
0.14960002899169922,0.26,0.17,0.297,0.852
0.1685488224029541,0.81,0.62,0.484,0.852
0.1545860767364502,0.75,0.5,0.397,0.852
0.14960026741027832,0.83,0.59,0.43,0.852
0.14760446548461914,0.94,0.57,0.434,0.852
0.1575782299041748,0.81,0.59,0.449,0.852
0.14860153198242188,0.99,0.58,0.45299999999999996,0.851
0.1466071605682373,0.9,0.7,0.5579999999999999,0.851
0.1575772762298584,0.94,0.6,0.465,0.851
0.1545865535736084,0.73,0.55,0.375,0.852
0.14760494232177734,0.99,0.64,0.5,0.852
0.15159368515014648,0.85,0.64,0.489,0.852
0.1466078758239746,0.99,0.55,0.42200000000000004,0.851
0.15957283973693848,0.99,0.74,0.508,0.851
0.1605701446533203,0.92,0.61,0.5,0.851
0.14561033248901367,0.84,0.72,0.511,0.851
0.1545858383178711,0.42,0.32,0.316,0.852
0.1545858383178711,0.98,0.7,0.414,0.852
0.15059685707092285,0.84,0.64,0.419,0.852
0.15259170532226562,0.92,0.66,0.5379999999999999,0.852
0.15558409690856934,0.9,0.7,0.455,0.852
0.1466076374053955,0.88,0.61,0.45899999999999996,0.852
0.14760494232177734,0.83,0.6,0.457,0.852
0.15358901023864746,0.87,0.62,0.519,0.851
0.14860153198242188,0.81,0.61,0.423,0.851
0.15857481956481934,0.8,0.55,0.434,0.851
0.15657973289489746,0.99,0.68,0.516,0.852
0.1466071605682373,0.96,0.71,0.58,0.851
0.15059709548950195,0.94,0.59,0.434,0.851
0.15657854080200195,0.96,0.75,0.5,0.851
0.1495988368988037,0.89,0.61,0.45,0.851
0.12466597557067871,0.98,0.71,0.523,0.851
0.17054319381713867,0.67,0.52,0.321,0.852
0.16356229782104492,0.77,0.53,0.434,0.851
0.1575782299041748,0.95,0.73,0.47100000000000003,0.851
0.1575784683227539,0.85,0.62,0.445,0.852
0.14960002899169922,0.8,0.6,0.461,0.852
0.15957212448120117,0.79,0.55,0.5,0.852
0.15259218215942383,0.91,0.66,0.467,0.852
0.15857577323913574,0.65,0.47,0.395,0.851
0.15857577323913574,0.82,0.63,0.484,0.851
0.15059661865234375,0.86,0.6,0.387,0.851
0.15658092498779297,0.93,0.7,0.49200000000000005,0.851
0.14860224723815918,0.91,0.63,0.425,0.851
0.15658187866210938,0.86,0.66,0.469,0.851
0.1605699062347412,0.73,0.5,0.424,0.851
0.1545858383178711,0.73,0.53,0.46399999999999997,0.851
0.13763189315795898,0.99,0.71,0.557,0.851
0.15658092498779297,0.04,0.02,0.375,0.853
0.15358924865722656,0.72,0.54,0.568,0.852
0.15657949447631836,0.99,0.62,0.5429999999999999,0.852
0.15259122848510742,0.92,0.7,0.508,0.852
0.15558433532714844,0.93,0.62,0.46,0.853
0.15259194374084473,0.91,0.69,0.517,0.852
0.15957307815551758,0.88,0.61,0.43799999999999994,0.852
0.1466052532196045,0.85,0.63,0.43799999999999994,0.852
0.15259194374084473,0.84,0.56,0.40399999999999997,0.852
0.15558457374572754,0.76,0.57,0.478,0.852
0.14361572265625,0.93,0.64,0.49200000000000005,0.852
0.14959955215454102,0.87,0.67,0.445,0.852
0.1545853614807129,0.84,0.58,0.456,0.851
0.15658044815063477,0.85,0.65,0.496,0.851
0.15059614181518555,0.86,0.6,0.45299999999999996,0.851
0.12765908241271973,0.92,0.66,0.489,0.851
