time,train_gpu_util,train_cpu_util,train_gpu_mem,train_main_mem,train_loss
3.3560919761657715,0.93,0.6,0.11699999999999999,0.8290000000000001,-0.01607835479080677
0.14960026741027832,0.13,0.1,0.39299999999999996,0.8290000000000001,-0.019771596416831017
0.1515941619873047,0.44,0.33,0.33299999999999996,0.8290000000000001,-0.02768719382584095
0.15110135078430176,0.46,0.33,0.381,0.8290000000000001,-0.027990853413939476
0.1501011848449707,0.51,0.39,0.409,0.8290000000000001,-0.03557371720671654
0.15658116340637207,0.51,0.38,0.387,0.8290000000000001,-0.035981401801109314
0.14561104774475098,0.78,0.5,0.401,0.8290000000000001,-0.038154300302267075
0.14611411094665527,0.58,0.42,0.38799999999999996,0.8290000000000001,-0.04148479551076889
0.15558481216430664,0.5,0.39,0.43799999999999994,0.8290000000000001,-0.04320337995886803
0.15459823608398438,0.31,0.23,0.39299999999999996,0.83,-0.044426754117012024
0.1545860767364502,0.44,0.32,0.369,0.8290000000000001,-0.04858909919857979
0.14461398124694824,0.55,0.41,0.396,0.8290000000000001,-0.049002472311258316
0.15358972549438477,0.64,0.47,0.41100000000000003,0.8290000000000001,-0.05699947476387024
0.1406240463256836,0.63,0.44,0.401,0.8290000000000001,-0.054647594690322876
0.1545865535736084,0.46,0.35,0.375,0.83,-0.05663236230611801
1.168382167816162,0.94,0.8,0.12300000000000001,0.8290000000000001,-0.058545418083667755
0.16057181358337402,0.61,0.44,0.275,0.836,-0.06703822314739227
0.14261555671691895,0.56,0.39,0.369,0.836,-0.059914480894804
0.14660859107971191,0.77,0.5,0.381,0.836,-0.07003656029701233
0.15309739112854004,0.56,0.59,0.369,0.835,-0.06848059594631195
0.1466083526611328,0.59,0.44,0.41700000000000004,0.835,-0.06769248098134995
0.1515944004058838,0.37,0.27,0.373,0.835,-0.06809645891189575
0.16007733345031738,0.5,0.37,0.414,0.835,-0.08438516408205032
0.15758037567138672,0.56,0.43,0.425,0.8340000000000001,-0.08056773990392685
0.1605837345123291,0.71,0.5,0.406,0.835,-0.08270770311355591
0.14162206649780273,0.56,0.42,0.389,0.835,-0.08827020972967148
0.1545867919921875,0.35,0.55,0.349,0.835,-0.08313489705324173
0.15608692169189453,0.52,0.4,0.419,0.8340000000000001,-0.08938488364219666
0.15358948707580566,0.52,0.4,0.382,0.8340000000000001,-0.09509675204753876
0.14861512184143066,0.47,0.36,0.38799999999999996,0.8340000000000001,-0.09010536968708038
0.14810967445373535,0.48,0.37,0.38799999999999996,0.8340000000000001,-0.09229987114667892
0.09275150299072266,0.85,0.61,0.45799999999999996,0.8340000000000001,-0.11316307634115219
0.1625654697418213,0.03,0.02,0.38299999999999995,0.835,-0.09699053317308426
0.16158032417297363,0.4,0.66,0.409,0.835,-0.09683995693922043
0.15309762954711914,0.51,0.38,0.382,0.8340000000000001,-0.11542822420597076
0.15358924865722656,0.35,0.27,0.345,0.8340000000000001,-0.11506872624158859
0.1466212272644043,0.31,0.23,0.375,0.8340000000000001,-0.11987323313951492
0.15409278869628906,0.21,0.14,0.353,0.835,-0.11693719774484634
0.14461302757263184,0.37,0.27,0.373,0.8340000000000001,-0.13914532959461212
0.1436147689819336,0.46,0.33,0.395,0.8340000000000001,-0.12898285686969757
0.15010356903076172,0.47,0.37,0.381,0.8340000000000001,-0.1314922422170639
0.14162135124206543,0.82,0.45,0.395,0.8340000000000001,-0.14240744709968567
0.15160632133483887,0.66,0.52,0.435,0.833,-0.136147141456604
0.1466073989868164,0.53,0.41,0.392,0.8340000000000001,-0.14521601796150208
0.14760613441467285,0.36,0.28,0.402,0.833,-0.148053839802742
0.15010285377502441,0.52,0.38,0.428,0.833,-0.1609945446252823
0.1466069221496582,0.51,0.4,0.382,0.833,-0.16085638105869293
0.0967416763305664,0.84,0.6,0.433,0.8320000000000001,-0.15725891292095184
0.15658211708068848,0.21,0.15,0.42200000000000004,0.835,-0.167827770113945
0.14810824394226074,0.45,0.32,0.375,0.8340000000000001,-0.17508581280708313
0.14760375022888184,0.31,0.23,0.409,0.8340000000000001,-0.1611969918012619
0.14611577987670898,0.25,0.19,0.415,0.8340000000000001,-0.1620115488767624
0.14561104774475098,0.45,0.33,0.381,0.8340000000000001,-0.16746194660663605
0.14162206649780273,0.51,0.4,0.405,0.833,-0.17561759054660797
0.14959955215454102,0.78,0.5,0.406,0.833,-0.18410108983516693
